id_empresa,ciudad,sector,antiguedad_empresa,distancia_centro,productividad,numero_trabajadores,salario_promedio,rotacion_personal,crecimiento_nomina,numero_servicios,indice_formalizacion,indice_digitalizacion,indice_competencia,satisfaccion_servicio,aporte_mensual
67,Bogotá,Agricultura,3.0,77.34,45.4,5,3.12,19.1,7.3,5,58.6,67.9,89.2,6.3,7000088.0
68,Cartagena,Transporte,4.0,50.89,67.4,12,4.11,30.2,-0.6,1,55.3,68.4,34.2,6.6,8121844.0
69,Bogotá,Agricultura,15.2,37.89,48.3,37,3.54,17.5,8.7,1,59.6,61.3,32.5,6.0,10808440.0
70,Bogotá,Manufactura,3.7,56.08,64.6,58,3.57,17.4,26.3,4,74.5,73.8,47.5,8.3,17602596.0
71,Cali,Construcción,9.9,28.01,60.8,11,3.46,21.8,11.2,0,58.7,70.9,12.3,5.7,8123298.0
72,Medellín,Manufactura,7.6,37.82,70.6,11,4.03,24.4,-7.6,0,62.6,72.1,48.1,5.9,8026587.0
73,Medellín,Agricultura,10.9,69.05,53.2,11,2.36,26.7,11.0,0,64.6,73.5,21.9,5.3,6553809.0
74,Medellín,Agricultura,6.2,22.06,41.2,25,4.18,17.7,5.4,1,57.9,62.1,56.4,5.8,8875805.0
75,Bogotá,Comercio,32.5,30.25,61.8,7,4.04,19.8,12.1,2,71.0,61.7,64.6,6.8,9521766.0
76,Barranquilla,Manufactura,13.4,63.69,60.4,28,3.54,20.1,16.8,1,67.9,56.1,28.8,7.3,14769537.0
77,Bogotá,Profesionales,18.8,71.41,69.5,7,5.22,9.5,3.9,0,69.1,79.2,82.2,5.5,9224389.0
78,Bogotá,Comercio,8.7,20.37,48.4,13,3.53,19.9,-11.6,0,60.1,67.2,80.0,6.4,6171088.0
79,Bucaramanga,Información,4.6,64.75,61.1,8,4.17,15.1,10.4,1,72.0,65.6,96.9,6.4,8364036.0
80,Bucaramanga,Agricultura,27.4,17.78,56.2,26,2.96,27.7,9.3,1,59.6,68.2,23.3,6.9,9837464.0
81,Bogotá,Información,13.3,5.65,77.4,24,5.41,18.8,9.0,3,73.5,72.9,47.5,6.4,15069692.0
82,Pereira,Manufactura,4.5,45.03,74.0,11,4.5,13.8,1.5,2,66.4,59.0,0.3,6.3,9839485.0
83,Barranquilla,Información,3.9,17.16,71.6,26,4.64,19.4,4.4,3,72.4,55.5,43.3,7.0,13049241.0
84,Cartagena,Comercio,12.0,68.35,57.7,13,3.17,24.7,8.5,1,51.5,69.5,9.5,7.0,7863378.0
85,Bogotá,Financiero,13.5,32.09,87.9,9,5.72,13.1,6.1,0,68.5,84.0,78.0,7.0,10989082.0
86,Bogotá,Financiero,19.2,45.34,82.4,7,5.82,3.2,-0.3,2,77.3,74.2,55.3,6.9,11605784.0
87,Bogotá,Información,14.9,35.41,65.6,62,4.76,5.8,4.5,0,63.3,74.1,26.7,5.5,17855931.0
88,Pereira,Hoteles,7.5,0.95,65.0,30,4.0,37.2,18.6,0,55.3,66.7,12.8,5.3,10784952.0
89,Pereira,Financiero,6.4,51.18,62.4,17,5.53,20.3,6.5,1,59.0,53.3,24.5,6.0,9896152.0
90,Bogotá,Comercio,32.1,20.74,61.4,4,3.24,26.0,11.4,1,66.7,78.6,23.3,5.7,8350122.0
91,Cali,Comercio,19.5,65.53,71.3,7,3.71,22.6,-1.5,1,76.3,63.6,1.1,5.4,8573026.0
92,Otras,Construcción,6.7,58.51,56.9,4,4.16,28.3,14.7,2,66.7,49.6,4.8,6.1,7510067.0
93,Barranquilla,Energía,15.3,31.19,71.8,15,5.62,3.2,6.4,4,68.1,60.3,78.8,6.4,12014261.0
94,Bogotá,Construcción,8.8,59.28,66.2,2,3.82,23.2,6.9,1,75.8,69.6,1.0,7.1,8241816.0
95,Cali,Transporte,30.2,68.4,61.7,6,3.34,28.4,-0.8,1,86.5,70.7,94.8,6.5,8555169.0
96,Otras,Energía,3.4,49.79,76.9,18,4.25,9.9,1.7,0,69.5,68.8,65.6,5.5,10954417.0
97,Cartagena,Información,3.4,42.7,61.5,9,4.08,7.5,-5.9,3,58.8,55.0,70.9,6.1,8467343.0
98,Cali,Comercio,11.0,3.16,45.4,3,3.48,24.2,9.0,0,58.5,59.3,26.5,6.4,5192087.0
99,Manizales,Comercio,8.1,23.46,57.7,7,3.01,26.8,8.5,0,56.1,55.7,80.2,6.3,6475392.0
100,Bogotá,Transporte,8.8,64.03,48.8,17,3.14,21.0,1.2,1,60.8,67.9,16.5,6.3,7643946.0
101,Cartagena,Comercio,4.7,41.81,44.6,46,3.42,25.3,2.0,1,58.8,45.7,64.5,6.5,11101974.0
102,Bogotá,Comercio,4.5,63.31,60.1,23,3.59,27.1,5.0,1,65.7,69.1,49.0,7.4,9933039.0
103,Cartagena,Financiero,10.7,47.03,54.4,6,4.34,10.2,-2.2,1,64.0,56.1,77.9,5.3,7021984.0
104,Medellín,Información,3.8,36.19,62.5,19,4.51,15.5,9.3,0,75.2,63.4,19.6,6.4,10168612.0
105,Bogotá,Manufactura,16.8,65.36,51.3,10,3.74,18.6,14.3,1,61.5,56.3,63.2,5.5,7972072.0
106,Cali,Manufactura,12.7,57.35,67.6,15,3.32,22.0,2.2,0,65.5,69.7,22.2,5.7,9000473.0
107,Cali,Comercio,2.0,20.76,56.8,5,3.06,22.6,3.9,0,72.4,59.8,85.9,5.1,6699616.0
108,Cali,Manufactura,6.3,11.57,51.3,17,3.59,19.0,13.5,1,56.2,57.6,43.8,6.3,7814103.0
109,Cali,Construcción,22.6,56.06,70.2,15,4.12,15.1,10.1,0,66.1,61.1,36.2,5.7,9972133.0
110,Medellín,Minas,29.2,19.69,83.0,15,5.64,9.1,-3.2,3,85.7,80.0,80.2,6.9,13545143.0
111,Cartagena,Comercio,32.3,18.4,64.5,18,3.7,22.1,-0.1,2,71.6,60.9,92.0,7.1,9898849.0
112,Barranquilla,Profesionales,14.0,66.44,60.6,8,3.49,8.1,12.4,1,72.8,59.2,68.3,5.4,13782063.0
113,Medellín,Información,2.7,69.54,77.1,19,5.72,20.4,9.4,1,68.1,68.2,39.5,5.9,12675067.0
114,Barranquilla,Manufactura,5.2,19.9,55.4,13,3.69,19.8,12.6,3,67.3,59.8,47.7,6.9,9234898.0
115,Cartagena,Construcción,3.8,4.47,62.3,1,4.34,23.8,8.7,1,67.0,57.4,74.7,6.5,7253235.0
116,Bogotá,Hoteles,15.6,71.6,47.3,10,3.15,29.9,5.2,1,73.4,67.9,45.9,5.8,7418508.0
117,Medellín,Manufactura,11.7,58.79,75.5,8,4.73,11.3,10.2,1,81.0,70.6,14.7,6.1,10670556.0
118,Bogotá,Información,11.6,11.37,73.6,5,6.13,20.7,-4.0,3,83.8,76.0,26.9,8.1,10359876.0
119,Cartagena,Transporte,6.6,15.57,53.2,22,2.99,17.9,8.5,2,57.8,49.7,91.1,8.0,8368606.0
120,Barranquilla,Hoteles,8.9,68.16,50.7,7,3.89,22.4,3.1,3,65.8,56.7,31.9,8.5,7601811.0
121,Barranquilla,Comercio,24.2,5.44,61.4,55,3.68,21.1,4.2,2,64.1,55.9,84.4,6.5,15084939.0
122,Cali,Manufactura,6.3,46.7,79.7,192,4.31,16.2,-1.1,4,74.5,59.7,15.7,7.5,41879275.0
123,Bogotá,Transporte,4.8,53.82,67.6,54,4.33,11.7,2.2,1,58.0,62.7,9.2,6.6,16199697.0
124,Cartagena,Comercio,6.3,26.19,38.1,9,3.15,24.8,17.2,0,50.3,50.7,60.7,6.7,5216399.0
125,Manizales,Información,17.3,22.93,66.9,35,4.13,16.3,11.1,1,77.8,47.3,9.0,5.8,14196522.0
126,Pereira,Comercio,5.6,19.28,67.1,12,3.58,31.7,9.5,1,70.6,61.4,10.4,6.6,8946552.0
127,Bogotá,Transporte,8.3,43.95,59.9,13,4.23,21.1,0.3,3,69.7,61.7,32.3,7.2,9765966.0
128,Bogotá,Construcción,16.1,52.56,52.5,12,3.17,18.7,10.4,1,55.4,62.4,27.2,6.0,7528063.0
129,Medellín,Comercio,7.4,20.09,60.3,4,3.62,26.9,8.3,1,67.7,60.6,90.8,6.1,7465040.0
130,Otras,Transporte,15.6,31.66,57.3,20,4.22,24.9,4.5,1,61.3,55.9,84.7,6.7,9733552.0
131,Bogotá,Salud,20.8,5.15,65.8,7,4.88,20.6,6.8,2,57.8,71.7,25.7,6.3,13352079.0
132,Medellín,Comercio,10.0,2.88,61.0,16,4.79,36.3,15.7,4,63.5,66.3,6.7,6.7,10744350.0
133,Bucaramanga,Salud,23.8,57.97,63.3,3,4.9,20.8,-0.7,1,61.4,72.7,98.9,6.9,7133445.0
134,Bucaramanga,Comercio,20.5,28.87,60.8,13,3.2,22.0,-0.6,0,66.6,65.0,12.8,5.9,7720830.0
135,Cali,Comercio,10.6,48.28,67.3,16,3.26,21.2,2.2,0,72.0,68.3,63.0,6.1,8933412.0
136,Medellín,Salud,10.1,17.5,72.6,4,4.73,8.6,-1.2,1,61.3,69.4,70.7,6.4,7756335.0
137,Barranquilla,Comercio,25.2,41.57,62.3,4,3.69,22.9,12.0,0,78.4,53.5,54.9,6.2,8288566.0
138,Bogotá,Transporte,5.1,62.29,65.0,10,3.76,31.6,-0.7,2,60.5,62.9,41.8,6.8,8210787.0
139,Bogotá,Financiero,4.6,39.69,68.3,10,4.76,8.5,6.2,0,67.4,80.8,49.0,6.1,9424763.0
140,Bogotá,Salud,21.6,52.82,68.4,44,4.13,10.5,4.8,3,76.5,82.1,85.0,7.9,16393533.0
141,Barranquilla,Hoteles,4.6,7.53,62.6,5,3.53,32.6,8.7,0,59.7,57.5,14.9,6.3,6381450.0
142,Bogotá,Comercio,15.2,19.86,54.2,5,3.62,28.5,-3.0,0,57.5,66.3,30.3,5.8,5288333.0
143,Bogotá,Salud,25.9,46.17,61.0,73,5.06,15.5,12.7,3,73.9,61.6,60.1,6.1,23924430.0
144,Bogotá,Salud,34.9,31.17,80.0,5,4.69,18.9,-4.9,0,74.0,81.3,31.7,6.5,8744246.0
145,Pereira,Salud,5.1,41.13,53.9,13,4.85,25.4,0.3,2,71.2,62.3,52.3,6.6,8896600.0
146,Bogotá,Transporte,16.0,13.25,57.4,25,3.98,23.2,11.2,0,71.0,68.4,66.8,5.8,11196064.0
147,Cali,Comercio,4.6,66.25,52.1,3,3.65,25.3,11.6,1,60.5,56.2,82.9,5.9,6169060.0
148,Pereira,Construcción,15.1,52.34,47.0,18,3.57,21.5,0.4,2,71.8,59.4,98.2,6.0,8467441.0
149,Cali,Manufactura,15.4,11.28,60.7,27,4.14,17.0,17.9,0,83.4,63.5,74.6,6.5,12771315.0
150,Cali,Manufactura,5.4,65.2,59.0,23,4.21,15.1,12.0,0,61.3,54.6,49.4,5.9,10241711.0
151,Pereira,Profesionales,8.9,67.86,48.2,7,3.85,13.2,-1.0,1,56.1,52.4,15.1,7.0,6328766.0
152,Bogotá,Construcción,9.8,34.73,74.1,24,4.78,25.1,5.0,2,66.5,83.9,4.4,5.4,13366666.0
153,Otras,Financiero,10.9,14.24,73.1,12,4.61,10.8,7.3,1,64.1,58.6,96.5,7.5,9521654.0
154,Bogotá,Hoteles,18.9,50.92,52.4,36,3.39,30.3,4.4,2,69.5,72.0,29.9,6.8,12039755.0
155,Barranquilla,Agricultura,1.6,65.26,41.5,6,3.48,22.9,3.9,0,65.2,57.4,45.6,6.8,5799676.0
156,Bucaramanga,Manufactura,9.2,8.7,59.7,33,5.18,18.5,-5.9,0,78.8,66.4,36.3,8.1,13004669.0
157,Bucaramanga,Construcción,6.5,39.71,44.0,20,3.42,27.3,-3.7,0,57.5,53.5,69.0,4.9,7200618.0
158,Medellín,Manufactura,38.3,25.77,66.3,25,5.14,24.7,3.2,1,78.1,66.7,59.9,6.4,12897943.0
159,Cartagena,Agricultura,4.3,24.95,61.7,3,2.91,25.0,5.3,2,55.4,58.2,89.0,7.8,6630773.0
160,Bogotá,Energía,3.2,78.75,63.9,13,5.27,8.8,10.3,1,68.4,66.5,0.0,6.0,10069391.0
161,Bogotá,Financiero,23.0,78.68,63.2,128,4.99,0.0,9.9,7,67.9,74.8,66.0,7.7,36142313.0
162,Bogotá,Manufactura,8.2,76.99,63.6,62,4.36,19.0,-1.9,1,63.7,64.0,9.8,7.1,17477313.0
163,Medellín,Agricultura,7.8,63.14,46.5,29,3.87,25.5,7.0,1,58.1,58.3,77.1,6.1,10005878.0
164,Otras,Transporte,4.8,69.55,55.1,2,3.67,21.6,-8.2,2,48.9,51.8,4.0,7.0,5581472.0
165,Barranquilla,Comercio,10.9,16.19,56.0,13,2.8,20.7,10.8,0,67.7,66.5,71.7,5.8,7592025.0
166,Bogotá,Financiero,19.1,41.98,67.4,15,5.54,6.9,22.8,0,66.6,66.3,27.9,7.0,11449408.0
167,Pereira,Comercio,20.4,1.82,65.3,70,3.37,30.3,-11.4,4,65.7,66.5,12.7,7.3,16224317.0
168,Bogotá,Profesionales,36.8,23.65,59.5,13,5.06,13.0,6.3,1,75.1,66.4,59.8,5.7,10493566.0
169,Manizales,Transporte,21.0,60.69,49.1,6,3.76,12.9,6.0,1,62.8,52.9,58.5,5.8,10501931.0
170,Cali,Manufactura,44.3,50.09,68.8,27,5.12,15.4,9.7,1,78.7,73.1,8.8,6.6,14809067.0
171,Bogotá,Agricultura,6.2,23.83,51.6,4,2.69,26.3,2.9,2,68.9,70.9,20.7,7.2,7362168.0
172,Barranquilla,Financiero,14.3,13.92,69.2,17,5.21,14.6,-1.2,0,77.4,79.3,21.6,6.6,11001214.0
173,Otras,Información,6.7,59.49,52.8,21,5.32,13.2,3.4,0,53.8,49.7,50.0,5.4,9138273.0
174,Bogotá,Comercio,6.8,0.06,42.9,13,3.8,28.3,0.9,1,53.3,70.1,46.5,6.0,6419735.0
175,Bogotá,Salud,4.4,22.16,56.3,17,4.12,20.6,-0.5,3,55.0,62.8,28.7,8.6,8629355.0
176,Manizales,Agricultura,1.7,66.42,45.1,3,1.97,33.0,9.3,1,45.7,47.3,80.6,6.2,4539644.0
177,Manizales,Información,28.6,77.03,64.8,33,5.32,10.5,3.8,2,62.9,64.4,1.6,7.4,14997554.0
178,Barranquilla,Comercio,10.9,58.33,52.6,4,3.0,26.7,4.7,0,58.3,52.0,3.6,5.4,5205526.0
179,Otras,Transporte,11.4,28.15,63.0,10,2.8,17.6,6.7,2,79.6,59.4,36.3,7.3,9441406.0
180,Bogotá,Comercio,9.9,34.52,59.6,8,3.96,31.7,6.0,2,71.6,61.7,91.3,6.9,10817134.0
181,Bogotá,Manufactura,5.2,67.7,62.8,33,4.54,15.8,8.5,1,47.4,79.3,53.9,7.1,12315025.0
182,Bogotá,Manufactura,5.6,22.23,73.1,78,3.84,23.0,10.5,1,66.5,73.2,85.5,5.0,20030780.0
183,Bogotá,Manufactura,5.8,14.94,88.2,38,4.68,26.2,6.3,2,73.1,89.9,99.5,6.4,17282417.0
184,Bucaramanga,Hoteles,11.9,75.04,64.4,4,3.37,28.8,11.5,0,59.6,70.3,73.2,5.3,10936378.0
185,Otras,Construcción,17.0,40.74,40.9,20,2.76,15.8,-6.1,0,63.7,62.8,39.9,5.9,6649218.0
186,Bogotá,Profesionales,7.0,71.17,73.3,17,4.85,16.6,-0.9,1,73.3,65.3,28.2,6.2,11265152.0
187,Bogotá,Financiero,2.8,21.5,69.2,27,5.58,14.9,5.4,2,67.9,73.9,64.4,6.4,13911404.0
188,Bogotá,Hoteles,3.4,27.8,58.9,57,4.14,35.7,6.5,1,61.3,60.3,50.5,6.6,15919383.0
189,Otras,Manufactura,5.8,69.41,58.0,16,3.57,18.8,10.5,0,66.6,57.6,78.8,6.4,8718518.0
190,Cali,Transporte,7.5,43.34,56.5,13,4.64,21.4,2.0,1,56.1,68.3,9.1,5.3,8054580.0
191,Pereira,Profesionales,8.6,31.39,65.9,14,5.03,21.1,3.7,1,67.6,56.7,36.4,6.9,9584942.0
192,Bogotá,Manufactura,12.5,61.12,64.8,15,4.57,17.7,7.5,1,64.6,71.0,39.4,6.4,9977215.0
193,Bogotá,Financiero,3.1,0.19,78.7,9,6.07,18.5,13.4,2,78.7,81.3,5.9,6.9,11787613.0
194,Bogotá,Comercio,9.7,8.37,48.6,3,4.05,24.9,-5.2,0,62.8,63.0,32.3,5.1,5165184.0
195,Otras,Comercio,3.0,76.57,33.8,10,3.28,23.4,8.8,1,51.1,43.5,32.0,6.7,5303038.0
196,Medellín,Minas,9.4,74.69,65.8,26,5.15,16.0,5.9,4,59.1,70.1,7.7,7.6,13274322.0
197,Bogotá,Construcción,13.4,68.45,67.3,10,5.36,19.9,16.8,2,73.3,73.6,80.2,4.5,11152513.0
198,Bogotá,Comercio,8.3,21.99,50.8,6,3.55,26.7,3.2,1,48.7,72.9,24.0,6.2,5768599.0
199,Bogotá,Comercio,13.3,12.41,67.1,19,3.82,18.3,10.1,1,69.4,73.0,30.7,7.1,10898800.0
200,Bogotá,Construcción,13.6,60.42,60.1,22,4.36,23.8,9.0,2,69.3,69.6,33.4,6.6,11530290.0
201,Bogotá,Comercio,11.3,23.3,50.1,11,4.03,26.0,12.5,1,49.8,66.4,6.1,5.7,7426869.0
202,Pereira,Comercio,14.7,64.34,53.5,7,3.32,28.9,9.8,1,67.3,61.3,16.4,6.8,7402948.0
203,Bogotá,Comercio,16.0,21.45,68.2,11,3.58,26.5,3.8,0,63.4,70.3,10.6,5.2,8461969.0
204,Bogotá,Hoteles,6.6,54.68,46.2,4,2.54,23.9,-4.5,0,57.0,60.5,57.5,6.4,5203300.0
205,Bogotá,Agricultura,36.8,41.75,48.2,10,3.22,21.1,4.0,4,71.4,60.2,15.8,8.1,8291936.0
206,Manizales,Comercio,11.1,6.53,49.7,8,2.75,23.9,5.9,0,54.1,55.7,50.5,4.0,6226213.0
207,Pereira,Comercio,8.5,76.77,43.4,53,2.67,26.6,1.4,2,53.8,56.4,18.0,5.9,13237516.0
208,Bogotá,Minas,6.6,62.6,69.0,37,5.85,14.3,10.4,1,74.5,75.2,9.5,5.8,16581036.0
209,Bucaramanga,Comercio,6.5,25.79,55.4,15,2.93,24.1,4.4,4,53.1,77.4,14.0,8.4,8445853.0
210,Pereira,Transporte,3.9,3.35,49.3,2,3.51,23.5,6.3,1,57.6,52.2,93.5,6.7,5880459.0
211,Cali,Información,28.6,78.42,65.6,38,4.62,14.2,8.9,0,81.7,65.1,1.1,5.4,15768168.0
212,Cali,Construcción,11.4,46.63,46.9,49,4.72,22.6,6.4,2,56.9,59.4,10.2,7.0,14761819.0
213,Cali,Profesionales,15.6,20.9,72.8,5,5.05,12.8,3.7,0,73.4,70.6,5.0,4.3,8926723.0
214,Bogotá,Profesionales,12.8,76.2,69.6,19,5.23,4.7,2.1,2,72.1,74.3,12.5,5.9,12446750.0
215,Bogotá,Comercio,12.1,55.53,53.0,6,3.44,16.9,14.5,0,70.2,63.5,69.6,5.7,7112066.0
216,Medellín,Comercio,9.0,71.27,55.8,1,3.35,31.4,8.8,1,68.2,75.8,65.7,6.9,6888546.0
217,Medellín,Agricultura,4.9,54.8,41.5,5,2.83,23.8,3.4,0,51.6,64.9,87.2,6.5,4366273.0
218,Medellín,Información,15.1,37.52,84.9,14,5.84,15.6,9.1,1,87.5,68.8,40.5,6.1,13357221.0
219,Bogotá,Manufactura,2.2,6.76,72.7,28,4.47,23.6,3.6,1,60.4,72.6,12.3,7.8,11479447.0
