id_empresa;nit;sector;antiguedad;tiempo_afiliacion;num_trabajadores;crecimiento_empleo;uso_servicios;satisfaccion;rotacion;salario_promedio;digitalizacion;formalizacion;distancia;abandono
25;893717019;Comercio;8.2;8.0;22;1.8;7;70.3;16.9;3.53;74.0;76.9;0.4;0
26;860867287;Servicios;7.2;3.3;38;11.8;6;67.8;28.5;5.25;71.2;64.9;24.3;0
27;991646859;Servicios;18.1;10.4;20;-3.7;9;86.4;23.4;2.09;62.9;71.2;0.2;0
28;924241275;Comercio;22.0;20.0;31;-10.8;4;57.9;13.0;2.91;48.8;20.4;21.5;0
29;901872197;Construcción;4.1;2.6;49;0.3;5;67.7;19.9;6.26;62.5;83.4;10.9;0
30;831724007;Servicios;18.1;8.6;42;-4.9;4;58.2;26.7;3.33;80.0;79.2;0.9;0
31;917479548;Servicios;6.4;3.1;11;23.2;7;84.3;22.7;5.1;50.9;57.5;15.4;0
32;901598073;Servicios;6.5;4.6;47;20.0;3;59.3;6.5;3.16;82.4;83.1;16.0;0
33;848684441;Construcción;24.9;6.9;6;6.8;5;60.0;15.5;5.67;41.8;60.5;12.4;0
34;897620024;Comercio;13.0;3.0;52;7.0;3;64.6;11.5;4.6;44.7;41.6;0.7;1
35;917897783;Manufactura;20.7;6.9;13;-2.8;4;53.0;22.2;2.66;64.2;49.8;2.6;1
36;828660104;Comercio;9.6;5.4;21;22.5;5;79.3;19.0;5.48;76.7;81.3;8.5;0
37;803474793;Comercio;7.9;2.2;13;12.1;2;52.1;19.6;5.62;81.9;76.6;1.9;1
38;818085391;Servicios;6.0;1.2;19;16.0;2;62.5;15.5;9.07;74.6;71.4;9.0;0
39;825474403;Servicios;10.5;10.5;8;20.2;6;80.4;15.7;3.63;88.2;57.1;14.8;0
40;801863669;Servicios;7.7;6.6;5;13.1;5;67.4;0.5;5.94;94.6;94.1;1.8;0
41;959889776;Comercio;6.8;4.9;79;-4.2;6;76.6;7.2;2.95;43.5;49.6;0.9;0
42;989463154;Servicios;8.9;4.1;7;11.0;2;52.5;28.9;2.08;44.3;48.8;2.0;1
43;854357516;Comercio;5.0;1.9;19;10.6;7;80.5;27.1;3.38;23.0;26.5;17.1;1
44;938070539;Transporte;14.3;12.3;49;15.2;9;81.5;15.7;2.73;52.0;58.4;19.7;0
45;891434950;Comercio;2.9;1.4;26;-1.8;7;84.8;28.7;4.84;71.8;64.8;14.9;1
46;980158176;Tecnología;23.8;16.4;6;-0.9;2;57.8;19.1;2.13;49.9;58.5;16.3;0
47;835743494;Construcción;21.5;5.9;5;-26.8;6;79.4;18.9;2.18;34.0;39.0;7.7;1
48;881659495;Manufactura;10.1;4.7;5;-0.4;2;34.5;22.5;2.35;39.5;35.7;0.6;1
49;958356219;Transporte;6.7;5.8;28;-2.4;5;75.7;11.4;2.62;21.9;44.8;8.1;1
50;834656577;Servicios;6.7;5.0;23;3.4;7;77.7;31.9;2.18;56.1;66.8;20.5;0
51;816252476;Comercio;2.6;1.4;21;4.8;6;82.3;13.4;5.26;62.2;66.9;1.8;0
52;850660094;Servicios;9.8;7.7;7;1.2;4;75.2;8.7;4.02;91.3;69.5;12.9;0
53;992296315;Construcción;6.0;4.1;22;1.1;3;47.1;42.7;3.91;40.3;51.2;16.1;1
54;815736475;Transporte;10.6;3.0;34;13.9;3;58.1;6.0;4.87;47.3;80.3;0.1;0
55;893099842;Comercio;8.1;7.8;69;16.6;4;55.4;1.8;4.29;69.0;70.0;12.7;1
56;991755219;Servicios;15.9;6.3;77;-4.0;4;53.3;18.3;3.49;24.8;51.1;15.4;0
57;982031270;Servicios;12.3;9.1;31;20.8;3;69.0;17.9;4.86;63.3;69.2;11.2;0
58;816320170;Manufactura;1.9;1.2;46;7.6;8;94.3;19.1;3.58;41.2;50.1;19.2;0
59;816410296;Construcción;10.6;4.9;32;7.2;4;67.0;7.6;2.38;41.7;45.8;35.3;1
60;977040001;Manufactura;28.4;25.0;117;5.5;7;90.3;17.3;4.87;82.5;67.5;0.2;0
61;919978628;Manufactura;45.9;44.4;31;-18.8;5;67.5;30.3;3.29;51.5;51.3;6.2;0
62;917626620;Construcción;6.0;1.9;74;5.9;8;95.1;9.7;3.17;61.6;47.5;13.7;0
63;968526481;Comercio;15.7;12.0;10;13.2;6;66.7;29.5;1.61;64.0;64.3;4.2;0
64;831281537;Transporte;6.3;6.0;5;1.9;5;57.3;18.4;2.11;73.3;60.1;22.1;1
65;901702384;Manufactura;15.9;10.1;40;6.0;5;61.5;21.6;3.68;86.5;89.6;18.4;0
66;883872812;Manufactura;10.4;6.6;10;-0.5;2;49.8;3.6;2.42;43.6;74.6;18.3;0
67;894413178;Servicios;15.3;5.4;19;-0.4;3;65.9;31.5;3.61;65.5;69.7;4.4;0
68;952803376;Servicios;11.8;11.2;28;-8.4;4;63.2;19.3;5.08;85.6;78.5;3.1;0
69;870858633;Comercio;4.8;2.0;5;-7.8;4;73.5;24.6;3.83;70.4;68.8;0.4;1
70;969083494;Comercio;4.6;2.8;60;27.3;8;95.8;9.7;3.05;70.4;53.2;20.9;0
71;893299049;Construcción;18.9;8.2;42;9.0;5;71.7;5.1;4.86;19.9;48.5;6.4;0
72;819869248;Manufactura;39.2;16.7;59;1.9;4;62.8;12.1;2.09;59.3;65.3;2.8;0
73;921446040;Transporte;17.2;14.1;5;15.0;6;82.0;6.0;2.03;70.0;80.3;3.2;0
74;933203397;Servicios;5.3;1.7;66;-10.7;6;56.7;12.3;1.36;42.7;57.2;5.8;1
75;967487375;Comercio;6.4;2.4;56;11.1;6;77.0;11.7;2.37;94.0;76.2;6.2;0
76;875368519;Servicios;10.6;9.8;130;-9.3;7;76.5;27.6;5.12;50.2;69.3;2.2;0
77;862234612;Servicios;10.1;5.8;7;19.6;3;48.3;15.8;1.5;30.9;21.8;2.5;0
78;988605344;Servicios;18.9;14.7;14;11.0;1;61.2;4.1;3.73;94.1;77.4;2.4;0
79;853592605;Servicios;12.6;7.3;13;11.9;3;53.2;17.4;3.91;40.3;41.6;0.8;1
80;926837880;Manufactura;11.8;11.8;8;23.9;4;56.0;7.8;2.62;62.5;71.7;5.1;0
81;977182425;Comercio;3.7;1.9;85;18.8;3;54.9;23.6;3.3;62.9;58.5;3.2;0
82;851998965;Servicios;37.3;31.1;68;-1.0;3;75.8;23.4;1.92;65.1;64.9;4.3;0
83;854490789;Construcción;40.0;37.2;36;-0.5;3;55.0;5.8;2.27;67.0;65.2;1.4;0
84;978453757;Comercio;3.9;1.9;49;-15.2;10;92.7;15.4;4.69;75.0;78.5;12.8;0
85;978079870;Manufactura;9.4;2.0;115;2.6;6;88.6;24.0;2.74;87.7;56.2;9.9;0
86;989892814;Manufactura;3.9;2.1;298;10.4;3;65.7;18.0;2.36;52.2;38.2;4.3;0
87;939065272;Servicios;19.5;17.4;10;-4.2;4;58.4;18.1;3.38;39.7;42.5;9.8;1
88;905237739;Servicios;4.5;1.5;19;5.5;7;65.2;11.8;4.78;69.5;85.5;0.9;0
89;879831241;Comercio;26.5;17.5;10;10.0;8;73.6;18.2;2.1;67.3;74.5;7.8;0
90;962711256;Servicios;9.0;3.1;38;-10.0;4;78.6;26.5;4.15;62.6;62.5;7.1;0
91;995714482;Comercio;22.4;7.5;16;0.7;3;43.8;6.4;4.24;44.9;51.7;14.8;0
92;937636893;Servicios;4.9;1.3;27;-7.5;3;73.1;25.4;2.74;35.6;48.8;15.3;1
93;985967894;Servicios;22.1;8.6;45;-6.5;6;69.6;22.2;2.4;54.3;56.6;8.3;0
94;951333793;Servicios;5.0;2.6;10;-1.9;3;58.2;22.1;2.52;84.4;79.2;17.8;1
95;983464875;Comercio;4.3;4.1;54;8.5;3;65.3;27.0;2.35;75.4;75.7;1.6;1
96;899204536;Servicios;5.8;1.2;26;16.1;3;72.6;28.4;3.31;79.3;65.5;20.0;0
97;922593865;Comercio;3.0;1.1;30;3.6;5;53.4;17.5;2.6;53.5;60.2;0.6;1
98;973763492;Manufactura;10.5;5.4;70;-7.3;2;52.9;12.6;5.55;50.5;49.9;3.8;1
99;890774067;Servicios;11.2;7.9;17;-12.2;6;96.3;9.6;4.01;78.0;84.1;13.6;0
100;803346570;Comercio;11.5;2.8;5;-3.5;6;94.7;28.5;4.5;67.1;84.3;4.3;0
101;844116733;Servicios;38.5;16.6;14;3.1;4;71.2;20.5;4.11;84.2;73.5;11.3;0
102;965076692;Comercio;9.5;4.7;153;-9.2;4;64.1;15.2;2.9;44.0;35.6;9.2;1
103;880715036;Servicios;6.7;5.6;51;15.6;5;68.6;2.2;4.87;67.2;65.1;5.9;0
104;887248083;Servicios;29.3;6.0;51;1.3;7;73.4;20.7;4.65;61.3;71.5;7.1;0
105;856932272;Comercio;9.3;5.1;10;26.6;5;77.9;26.5;3.2;44.4;40.3;24.6;0
106;966231841;Comercio;6.2;2.5;80;-2.5;2;59.1;19.9;2.2;40.3;46.6;5.2;1
107;986696743;Tecnología;2.5;2.1;39;-1.4;6;85.3;27.4;2.06;75.4;76.1;1.9;0
108;936525898;Manufactura;5.4;3.0;19;-8.7;5;54.0;26.0;4.91;55.9;42.2;16.2;1
109;860320366;Servicios;7.4;6.3;42;4.2;3;63.5;47.9;3.06;46.9;63.9;17.9;1
110;864864637;Comercio;13.9;8.1;7;-0.7;4;73.5;11.7;5.17;79.0;68.2;14.6;0
111;999448956;Comercio;22.8;22.0;20;7.7;2;48.4;30.2;4.64;86.3;55.9;3.6;0
112;995843428;Servicios;3.9;1.8;15;-1.6;4;50.1;22.2;3.12;45.0;45.7;5.9;1
113;820989995;Servicios;14.7;7.9;17;1.2;3;62.4;17.6;2.77;44.3;56.5;21.3;0
114;834594834;Servicios;13.9;5.4;23;27.2;3;58.7;9.8;2.31;45.6;58.3;8.0;0
115;987062956;Tecnología;15.3;14.5;39;33.5;3;70.8;13.8;2.44;57.8;55.4;16.1;0
116;838124684;Construcción;10.4;9.0;10;17.0;1;29.2;4.4;7.13;49.1;55.4;0.5;1
117;959975869;Servicios;7.9;1.7;57;17.7;6;84.5;8.1;2.61;84.7;73.2;0.6;0
118;850875397;Comercio;7.9;6.5;95;1.6;5;73.7;30.6;4.46;22.9;47.5;24.1;1
119;915176869;Construcción;10.3;3.5;92;0.2;7;66.3;22.2;4.54;36.7;50.8;41.4;1
120;914271536;Servicios;5.7;3.7;12;0.4;5;75.9;21.9;4.76;50.4;49.4;14.0;1
121;994492987;Servicios;2.5;1.8;21;19.3;5;49.4;26.0;3.22;61.8;62.4;17.2;1
122;899239210;Comercio;44.5;16.9;23;9.7;6;54.1;27.6;3.48;65.9;56.3;3.7;0
123;847623481;Servicios;7.9;5.3;71;-4.4;8;91.9;32.0;4.75;68.4;58.1;1.0;0
124;978815037;Construcción;11.1;2.8;28;-8.7;4;87.3;31.1;3.57;51.3;70.9;0.2;0
125;875922266;Servicios;7.6;3.9;89;6.9;5;79.2;23.0;7.98;52.8;36.4;1.1;0
126;929799690;Construcción;1.9;1.1;28;-11.9;0;42.2;28.2;2.56;18.2;40.3;16.4;1
127;869507455;Manufactura;13.4;6.1;19;0.4;6;63.3;1.1;2.83;49.6;52.5;2.9;0
128;881009233;Comercio;8.2;7.7;11;12.9;7;75.6;31.1;2.11;63.5;77.5;0.1;0
129;954501172;Construcción;16.8;9.9;8;1.7;5;62.2;6.9;2.3;65.7;60.0;12.3;0
130;825167019;Tecnología;4.5;3.4;42;6.4;6;64.9;14.9;4.07;42.1;77.6;3.7;0
131;944127059;Servicios;14.3;5.3;5;-8.2;4;64.2;27.3;2.42;54.1;54.5;8.1;0
132;901718794;Servicios;13.6;5.3;24;21.6;7;59.1;5.7;3.89;34.8;51.1;2.3;0
133;865273212;Transporte;7.9;1.7;5;1.0;8;93.3;24.9;2.82;49.5;60.1;0.2;0
134;895448477;Servicios;7.0;2.1;28;-3.6;8;93.2;18.4;2.47;41.4;38.4;14.3;0
135;989914101;Servicios;12.0;10.9;32;-0.8;7;79.6;6.6;5.25;52.5;75.9;17.6;0
136;959898162;Servicios;1.6;1.6;40;17.4;5;67.9;30.2;1.82;56.0;75.5;8.0;1
137;875694370;Comercio;6.4;2.0;55;-23.2;1;46.5;18.3;3.85;68.9;69.0;6.0;1
138;933694866;Tecnología;3.2;1.4;56;4.4;6;85.8;14.6;3.64;60.5;75.8;10.1;0
139;881059914;Comercio;8.5;4.2;47;11.8;2;41.9;24.8;3.83;80.5;70.4;6.0;1
140;913221700;Manufactura;5.0;4.4;35;9.8;8;87.7;17.8;2.67;56.4;52.6;11.4;0
141;889681750;Tecnología;10.3;8.5;67;2.2;2;47.3;36.2;3.36;60.2;48.3;7.0;1
142;934239076;Servicios;6.1;3.2;21;-4.8;7;79.4;17.8;4.49;33.5;35.7;5.1;0
143;983307318;Manufactura;8.1;7.7;48;-6.3;4;57.1;12.1;2.68;53.6;58.4;14.7;1
144;858775053;Manufactura;3.6;3.3;18;-14.6;7;77.9;23.1;4.13;96.9;74.9;7.6;0
145;925246529;Manufactura;17.2;7.5;8;6.4;1;38.0;19.6;2.04;86.7;78.8;21.6;1
146;881508889;Manufactura;8.1;7.6;7;11.3;3;38.9;27.3;2.89;39.5;43.8;7.9;1
147;815943239;Manufactura;39.9;39.3;22;3.6;2;69.7;19.1;3.13;93.0;87.1;9.8;0
148;908848690;Servicios;3.9;2.1;20;-5.5;7;87.2;3.6;5.75;55.7;48.1;15.9;0
149;936520561;Construcción;5.2;3.9;13;4.7;6;77.6;11.6;3.79;91.9;86.2;0.9;1
150;974418407;Manufactura;10.1;8.6;17;-6.5;4;72.6;15.6;2.24;33.3;48.1;4.1;0
151;818234474;Comercio;4.5;3.7;9;14.4;5;72.1;2.6;4.47;29.5;27.3;0.4;0
152;952624598;Servicios;14.7;11.7;39;-4.2;6;66.2;15.1;2.74;60.1;60.4;10.5;0
153;893658227;Servicios;3.6;2.8;57;15.1;5;63.5;11.4;6.93;39.2;35.0;0.3;0
154;976823252;Transporte;28.9;12.8;7;13.1;7;70.5;21.5;2.42;89.4;68.1;2.9;0
155;898254938;Transporte;12.1;6.0;65;10.9;5;80.0;7.6;2.78;41.6;58.1;3.2;0
156;914739444;Comercio;4.3;1.6;28;12.2;4;73.6;9.8;3.89;66.6;60.0;1.1;1
157;873998131;Servicios;19.8;16.6;27;-8.8;5;71.1;30.3;3.42;90.8;98.3;7.3;0
158;834219880;Tecnología;8.0;3.1;16;13.8;0;58.5;20.0;2.63;61.3;56.3;44.2;1
159;983039834;Servicios;7.2;5.9;55;17.3;4;54.1;11.2;4.9;31.5;35.6;13.5;1
160;830466040;Servicios;18.0;10.8;20;-17.9;5;47.6;18.4;5.42;89.5;71.6;6.0;1
161;858971257;Comercio;28.6;18.9;15;0.3;5;68.6;26.0;4.02;72.4;68.5;26.6;0
162;837401262;Servicios;16.1;6.1;32;-1.8;3;66.0;17.0;3.84;63.6;50.3;9.3;1
163;919920297;Comercio;11.9;10.3;20;27.9;7;78.2;6.8;6.06;56.2;55.5;1.4;0
164;851350864;Comercio;35.7;12.2;16;4.6;5;57.4;7.4;4.45;87.4;76.8;0.7;0
165;826157453;Construcción;14.2;8.9;25;-1.5;8;52.6;9.5;4.28;80.7;85.9;17.6;1
166;825639089;Comercio;14.7;14.5;10;-6.0;8;67.9;8.5;6.85;75.9;77.3;3.3;0
167;947491288;Manufactura;9.5;4.8;26;9.9;10;82.6;25.9;5.59;41.8;61.2;4.3;0
168;958230615;Manufactura;17.8;15.6;24;-10.8;5;61.6;5.8;7.21;53.5;63.3;1.9;0
169;807455249;Manufactura;11.3;3.1;14;1.3;9;80.2;34.2;2.98;21.2;39.7;10.8;1
170;809461478;Construcción;10.5;9.3;54;13.1;6;69.3;10.3;5.01;71.8;77.1;5.0;0
171;833313033;Servicios;17.6;12.7;104;12.5;7;89.9;25.5;2.21;86.5;65.3;3.8;0
172;912907677;Servicios;50.0;38.1;13;6.3;2;61.1;12.1;2.76;94.0;93.0;1.7;0
173;906119303;Manufactura;17.5;5.8;6;5.9;6;60.8;18.3;2.86;54.8;64.6;14.3;0
174;973071173;Comercio;7.7;4.9;40;7.2;2;72.0;24.5;1.75;84.1;80.0;4.8;1
175;804975758;Manufactura;19.0;8.0;99;-0.9;9;76.2;6.3;3.49;59.5;43.3;1.5;0
176;959583692;Transporte;5.2;3.4;43;-0.2;7;64.7;16.0;6.0;26.5;34.2;15.7;0
177;905152253;Manufactura;7.7;3.5;17;6.1;6;78.2;4.7;2.33;33.0;47.4;23.0;0
178;970617414;Comercio;25.3;6.6;33;9.7;4;60.7;30.5;5.58;54.2;45.3;5.9;0
179;988292219;Servicios;11.7;3.9;8;1.1;5;71.5;15.5;6.45;81.5;63.8;15.6;0
180;899709934;Servicios;24.9;24.8;30;-6.9;7;81.2;29.6;5.2;26.0;35.5;20.7;0
181;913513692;Construcción;8.4;6.9;84;-1.1;7;73.9;17.7;4.83;96.0;91.1;28.2;0
182;939975823;Comercio;4.5;1.2;83;17.1;3;61.7;16.1;2.22;64.9;71.5;2.8;0
183;809978197;Comercio;31.6;23.7;11;13.9;4;48.8;15.9;4.59;89.3;74.7;3.1;0
184;994494562;Manufactura;9.5;6.2;12;12.5;6;72.8;26.9;2.68;71.1;77.0;4.2;0
185;950130543;Servicios;21.3;16.5;14;-5.3;3;63.3;14.2;2.9;26.0;39.1;6.7;0
186;963764757;Construcción;3.7;2.1;5;7.2;9;73.9;32.0;2.51;43.6;59.1;1.4;1
187;809097312;Comercio;7.0;4.5;29;6.1;5;74.6;4.8;8.41;63.1;72.5;9.0;0
188;863790541;Comercio;11.8;11.6;5;2.2;2;65.4;9.6;2.65;26.4;37.7;0.5;1
189;853899822;Comercio;20.9;8.6;19;4.9;4;46.5;14.0;4.5;47.5;60.1;10.5;0
190;936089327;Servicios;12.2;11.4;36;12.5;2;50.0;22.4;3.97;59.9;61.9;26.5;0
191;819921055;Servicios;10.4;5.5;15;-30.0;3;54.6;27.5;4.25;65.8;73.0;8.1;1
192;836268709;Servicios;10.0;7.6;29;-3.1;6;68.8;3.1;1.79;93.2;76.0;5.5;0
193;885043932;Manufactura;9.9;8.6;14;15.8;6;67.3;14.8;3.55;53.7;70.9;20.5;0
194;958961848;Tecnología;12.5;2.7;26;15.4;5;61.2;34.4;4.73;68.6;73.4;1.1;0
195;802767625;Comercio;10.4;4.8;89;-2.4;3;56.5;40.8;2.31;32.5;40.1;2.1;1
196;898980929;Transporte;16.1;13.8;20;9.9;8;74.0;18.0;4.04;70.7;84.6;3.0;0
197;988532401;Servicios;8.8;6.0;9;-4.3;7;87.4;13.0;4.35;45.2;29.4;9.3;0
198;805916805;Comercio;3.8;1.8;24;-7.7;8;83.8;8.0;1.71;94.1;83.0;10.0;0
199;843163446;Servicios;11.5;8.1;15;-5.6;6;77.4;13.6;4.5;40.6;43.3;3.1;0
200;934851832;Comercio;4.8;3.9;36;5.9;1;46.9;26.3;2.25;50.2;63.3;20.2;1
201;951299736;Servicios;11.8;7.2;31;3.6;2;51.2;8.6;6.63;89.2;84.7;0.7;0
202;955916779;Servicios;11.4;3.4;7;22.4;6;74.6;38.3;2.72;59.6;54.1;5.3;0
203;814872119;Comercio;4.6;3.3;32;5.0;5;64.1;4.9;3.71;63.3;52.9;6.0;0
204;998864633;Comercio;17.0;11.7;23;18.1;8;77.0;24.5;2.22;50.4;53.0;4.9;0
205;925973670;Comercio;8.0;1.6;44;-8.7;3;52.9;19.6;6.22;72.4;76.5;33.0;0
206;837537234;Comercio;1.6;0.4;41;0.4;7;78.7;9.0;2.59;42.3;64.9;19.4;0
207;970889437;Manufactura;7.5;3.3;86;-4.6;2;51.2;12.0;3.76;66.5;40.2;20.4;0
208;905500373;Comercio;8.1;4.4;5;7.1;2;54.5;7.4;3.41;87.1;84.5;17.0;0
209;859026979;Comercio;6.1;2.0;24;6.3;2;42.8;4.8;6.7;64.4;73.2;2.8;0
210;823723475;Tecnología;5.2;4.7;59;6.3;7;81.1;27.3;1.79;51.4;60.4;2.8;0
211;896907437;Comercio;7.2;2.6;22;-15.2;6;79.2;28.3;3.45;14.1;32.0;14.0;0
212;812044077;Construcción;4.5;3.0;18;2.1;7;81.9;29.8;3.94;48.1;53.3;1.0;0
213;821221691;Comercio;9.2;7.6;30;-4.1;5;65.0;21.4;2.81;51.1;40.8;4.7;1
214;881640665;Manufactura;24.8;5.6;15;-4.1;1;62.5;3.8;2.85;70.7;73.3;19.4;1
215;922977544;Comercio;8.6;2.5;42;1.2;5;69.4;39.7;6.86;45.3;43.8;20.9;1
216;845557402;Comercio;8.3;7.8;9;6.0;4;49.9;7.4;4.97;62.2;61.3;5.5;1
217;977887555;Servicios;12.8;5.3;13;13.2;4;61.2;27.6;3.53;54.4;61.9;28.1;0
218;825506542;Manufactura;2.0;2.0;7;10.9;8;88.4;18.4;3.0;53.8;79.3;3.6;0
219;907792891;Construcción;9.9;2.8;10;-6.3;6;65.6;11.3;4.38;29.0;36.0;1.0;0
220;804740411;Servicios;11.5;5.9;19;34.5;3;48.5;26.3;3.57;65.0;62.3;17.8;0
221;967060724;Manufactura;13.1;4.5;32;1.7;5;76.4;6.2;3.47;84.6;68.3;0.4;0
222;849672448;Servicios;15.5;8.7;54;-13.2;3;43.7;11.7;3.35;94.3;81.7;8.3;0
223;825296140;Transporte;4.9;1.8;5;7.9;5;65.4;15.1;4.1;14.9;51.4;1.7;0
224;932981037;Construcción;7.5;3.8;23;-0.7;2;65.9;29.3;8.01;63.9;66.9;5.5;1
225;894357311;Manufactura;5.3;1.1;34;4.4;3;72.9;27.4;5.28;75.4;68.1;1.5;1
226;851119344;Servicios;8.4;5.0;26;-3.1;8;72.1;14.4;2.22;78.7;83.9;21.9;0
227;819212518;Transporte;5.2;2.8;12;13.0;5;63.5;5.0;3.72;75.2;77.2;5.6;0
228;841996023;Construcción;13.4;13.4;8;23.2;2;63.2;27.2;5.36;81.5;84.3;17.6;0
229;807471960;Transporte;17.6;12.0;25;3.8;6;64.2;22.6;4.53;78.9;56.0;4.5;0
230;935926702;Servicios;13.9;11.6;54;15.7;4;54.7;13.6;3.26;78.5;72.5;25.1;0
231;858702712;Servicios;6.2;3.7;37;4.4;5;78.7;31.9;5.21;65.1;64.8;11.1;0
232;951478715;Comercio;7.2;3.9;26;-22.2;8;75.7;14.3;5.22;63.8;57.6;9.5;1
233;828727860;Comercio;6.1;2.0;30;14.5;7;90.6;4.9;3.18;63.9;66.4;0.9;0
234;868641211;Servicios;7.1;6.9;37;-13.9;5;59.8;17.3;2.75;40.5;40.6;43.3;1
235;904967300;Construcción;8.6;6.3;54;1.8;6;69.7;4.5;5.71;72.9;62.8;26.3;0
236;840937239;Servicios;12.9;11.9;42;10.4;6;79.3;14.0;4.59;90.4;77.9;36.6;0
237;830733566;Servicios;6.1;1.3;9;-2.0;5;67.5;8.4;2.71;78.9;96.1;22.0;0
238;843405666;Tecnología;4.7;1.9;22;-9.7;5;73.8;15.1;4.12;76.4;87.8;24.4;0
239;968546661;Manufactura;6.0;2.0;11;2.0;9;100.0;12.1;2.1;46.8;43.1;0.7;0
240;855641437;Transporte;21.9;8.2;27;3.9;4;55.6;13.1;1.69;78.3;73.6;0.6;0
241;803861171;Servicios;3.8;2.8;33;9.5;5;67.6;6.5;5.51;54.8;37.3;4.1;0
242;941855056;Servicios;5.3;2.5;119;8.7;7;68.0;4.1;4.21;49.6;47.7;3.3;0
243;923472925;Manufactura;16.1;15.0;45;-6.8;6;67.2;19.3;2.87;39.7;46.5;3.7;0
244;946034555;Servicios;35.1;17.1;45;11.9;7;75.7;21.9;4.01;21.6;44.1;4.1;0
245;883729059;Manufactura;3.6;0.8;8;5.2;4;53.6;20.6;3.69;70.2;70.8;9.9;1
246;960016870;Manufactura;18.9;16.1;49;12.7;6;70.1;18.2;2.93;19.2;25.3;4.9;1
247;966619033;Comercio;2.6;0.7;57;5.6;6;72.6;13.5;2.5;43.3;54.3;1.2;0
248;909890148;Servicios;13.9;10.8;14;11.1;4;55.0;15.3;1.7;55.7;58.2;12.1;1
249;975886520;Transporte;2.8;2.1;13;13.0;5;61.2;24.3;2.46;59.6;60.6;21.1;1
250;830399380;Servicios;7.0;5.6;11;6.4;1;48.8;18.7;4.15;56.4;54.8;20.7;1
251;954712818;Servicios;3.7;0.8;43;10.9;4;59.7;23.7;2.38;61.6;60.9;8.8;1
252;909472816;Servicios;17.3;15.7;97;16.8;3;64.3;10.2;2.44;61.4;55.8;7.2;0
253;831958083;Comercio;4.6;2.8;17;-10.0;5;68.3;19.0;3.19;61.9;60.3;36.2;0
254;929601842;Comercio;29.4;15.6;7;0.2;8;95.6;30.0;3.64;27.4;32.5;6.2;0
255;911485353;Servicios;11.5;3.7;43;10.6;3;50.7;11.9;3.46;77.4;80.2;11.6;0
256;914334996;Servicios;3.1;0.8;23;20.2;5;57.1;15.1;6.96;46.5;32.2;1.1;0
257;962543605;Manufactura;6.6;1.9;10;6.5;6;72.7;35.7;5.43;40.5;43.1;8.0;1
